NAME,XCOORDS,YCOORDS,OU,SYSTEM
199-D5-130,574039.2,151928.5,100-HR-3-D,DX
199-D5-131,573684.4,152006.8,100-HR-3-D,DX
199-D5-132,573875.3,151586.9,100-HR-3-D,DX
199-D5-133,573731.6,151497.4,100-HR-3-D,DX
199-D5-134,573675.3,151862.5,100-HR-3-D,DX
199-D5-14,573789.6,151788,100-HR-3-D,DX
199-D5-141,573243.4,151424.5,100-HR-3-D,DX
199-D5-142,573791.9,151563.3,100-HR-3-D,DX
199-D5-143,573701.5,151784.3,100-HR-3-D,DX
199-D5-145,573215.6,151396.3,100-HR-3-D,DX
199-D5-146,573219.8,151345.6,100-HR-3-D,DX
199-D5-147,572993.1,151380.8,100-HR-3-D,DX
199-D5-148,573361.5,151083.5,100-HR-3-D,DX
199-D5-15,573738.6,151673.8,100-HR-3-D,DX
199-D5-153,573329.8,151992.8,100-HR-3-D,DX
199-D5-154,573632.3,151831.7,100-HR-3-D,DX
199-D5-159,573474.2,151910.8,100-HR-3-D,DX
199-D5-16,573917.4,151652.5,100-HR-3-D,DX
