"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-11-E10","A8230","VADOSE WELL","DECOMMISSIONED-V",39.624,39.624,143.26,126995.47,592806.89,"300-FF-5"
"699-12-1A","A8231","VADOSE WELL","CANDIDATE FOR DECOMMISSIONING",257.89128,NA,135.711,127109.629,589563.164,"300-FF-5"
"699-12-1B","A8232","UNCLASSIFIED","IN-USE",76.5048,NA,134.797,127261.761,589474.351,"300-FF-5"
"699-12-1C","A8233","UNCLASSIFIED","DECOMMISSIONED-V",35.6616,NA,134.431,127261.912,589527.685,"300-FF-5"
"699-12-1D","A8234","UNCLASSIFIED","DECOMMISSIONED-V",45.72,NA,133.699,127262.063,589581.019,"300-FF-5"
"699-12-1E","A8235","UNCLASSIFIED","DECOMMISSIONED-V",32.9184,NA,134.98,127203.856,589474.515,"300-FF-5"
"699-12-1F","A8236","UNCLASSIFIED","DECOMMISSIONED-V",45.72,NA,134.827,127204.007,589527.849,"300-FF-5"
"699-12-1G","A8237","UNCLASSIFIED","DECOMMISSIONED-V",30.1752,NA,134.918,127204.158,589581.182,"300-FF-5"
"699-12-1H","A8238","UNCLASSIFIED","DECOMMISSIONED-V",45.72,NA,135.497,127145.951,589474.679,"300-FF-5"
"699-12-1J","A8239","UNCLASSIFIED","DECOMMISSIONED-V",32.004,NA,135.345,127146.101,589528.012,"300-FF-5"
"699-12-1K","A8240","UNCLASSIFIED","DECOMMISSIONED-V",76.2,NA,135.101,127146.252,589581.346,"300-FF-5"
"699-12-1L","A8241","UNCLASSIFIED","DECOMMISSIONED-V",33.2232,NA,134.979,127194.812,589509.589,"300-FF-5"
"699-12-1P","A8242","UNCLASSIFIED","DECOMMISSIONED-V",17.6784,NA,134.858,127219.094,589474.472,"300-FF-5"
"699-12-1Q","A8243","UNCLASSIFIED","DECOMMISSIONED-V",17.6784,NA,134.766,127219.318,589553.711,"300-FF-5"
"699-12-1R","A8244","UNCLASSIFIED","DECOMMISSIONED-V",18.5928,NA,136.198,127091.201,589512.929,"300-FF-5"
"699-12-1S","A8245","UNCLASSIFIED","DECOMMISSIONED-V",18.5928,NA,135.924,127091.498,589618.073,"300-FF-5"
"699-12-2A","A8246","VADOSE WELL","DECOMMISSIONED-V",NA,NA,NA,127212.438,589276.392,"300-FF-5"
"699-12-2B","A8247","UNCLASSIFIED","DECOMMISSIONED-V",46.3296,NA,135.436,127091.032,589453.5,"300-FF-5"
"699-12-3","A8248","UNCLASSIFIED","DECOMMISSIONED-V",33.528,NA,135.315,127227.332,589154.443,"300-FF-5"
"699-12-4A","A8249","UNCLASSIFIED","DECOMMISSIONED-V",25.2984,NA,136.444,127210.471,588667.149,"300-FF-5"
"699-12-4B","A8250","VADOSE WELL","DECOMMISSIONED-V",25.6032,NA,137.846,127098.296,588789.087,"300-FF-5"
"699-12-4C","A8251","UNCLASSIFIED","DECOMMISSIONED-V",31.6992,NA,136.81,127137.873,588773.737,"300-FF-5"
"699-12-4D","A8252","GROUNDWATER WELL","IN-USE",45.72,NA,136.782,127257.72,588689.815,"300-FF-5"
"699-12-11","A8253","VADOSE WELL","DECOMMISSIONED-V",38.1,NA,163.512,127064.499,586415.23,"200-PO-1"
"699-12-18","A8254","GROUNDWATER WELL","CANDIDATE FOR DECOMMISSIONING",243.84,NA,168.29,127286.378,584371.653,"200-PO-1"
"699-12-26","A8255","VADOSE WELL","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-12-E3","A8256","UNCLASSIFIED","DECOMMISSIONED-V",23.4696,NA,138.97,127242.064,590971.495,"300-FF-5"
"699-12-E4","A8257","VADOSE WELL","IN-USE",36.576,14.7066,141.053,127200.437,591266.841,"300-FF-5"
"699-13-0","A8258","VADOSE WELL","DECOMMISSIONED-V",19.812,NA,127.65,127580.501,589775.094,"300-FF-5"
"699-13-1","A8259","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,127517.807,589488.865,"300-FF-5"
